Timestamp,Vehicle_ID,Speed (Km/h),Distance (Km),SoC (%),Acceleration (m/s²),Braking (m/s²),Terrain,Temperature (°C),Wind Speed (km/h),Elevation (m),Weather
2025-04-22 11:25:00,EV101,46.03,3.84,62.53,0.43,0.21,Flat,34.28,12.52,285.31,Rainy
2025-04-22 11:30:00,EV101,54.2,4.52,62.03,0.33,0.08,Downhill,33.2,7.57,282.48,Sunny
2025-04-22 11:35:00,EV101,39.94,3.33,61.9,0.51,0.61,Hilly,25.87,16.39,285.04,Foggy
2025-04-22 11:40:00,EV101,62.59,5.22,61.5,0.19,0.34,Downhill,28.07,10.85,288.31,Cloudy
2025-04-22 11:45:00,EV101,22.37,1.86,61.13,0.41,0.37,Hilly,34.87,7.48,292.97,Sunny
2025-04-22 11:50:00,EV101,53.54,4.46,60.66,0.85,0.28,Flat,25.66,5.04,294.33,Rainy
2025-04-22 11:55:00,EV101,50.46,4.2,60.36,0.43,0.0,Hilly,32.22,6.64,299.25,Foggy
2025-04-22 12:00:00,EV101,38.23,3.19,60.0,0.79,0.32,Uphill,32.24,7.75,297.0,Clear
2025-04-22 12:05:00,EV101,34.54,2.88,59.51,0.48,0.17,Flat,25.05,14.77,292.73,Foggy
2025-04-22 12:10:00,EV101,48.37,4.03,59.13,0.45,0.0,Hilly,33.18,5.63,289.02,Rainy
2025-04-22 12:15:00,EV101,45.52,3.79,58.94,0.56,0.29,Flat,30.37,18.21,289.67,Sunny
2025-04-22 12:20:00,EV101,42.5,3.54,58.81,0.44,0.17,Flat,25.07,11.62,285.12,Rainy
2025-04-22 12:25:00,EV101,27.25,2.27,58.42,0.51,0.71,Hilly,30.19,16.41,280.33,Sunny
2025-04-22 12:30:00,EV101,37.25,3.1,57.94,0.48,0.3,Flat,27.23,14.5,283.4,Sunny
2025-04-22 12:35:00,EV101,40.09,3.34,57.54,0.62,0.32,Uphill,39.52,7.31,280.93,Cloudy
2025-04-22 12:40:00,EV101,60.28,5.02,57.23,0.62,0.48,Downhill,25.77,14.55,282.03,Cloudy
2025-04-22 12:45:00,EV101,45.98,3.83,57.04,0.28,0.0,Hilly,25.92,16.01,285.9,Sunny
2025-04-22 12:50:00,EV101,74.15,6.18,56.76,0.57,0.1,Downhill,28.62,16.41,290.87,Cloudy
2025-04-22 12:55:00,EV101,53.76,4.48,56.33,0.19,0.59,Uphill,37.9,8.6,288.73,Sunny
2025-04-22 13:00:00,EV101,50.78,4.23,56.06,0.47,0.33,Flat,32.94,5.56,285.71,Clear
2025-04-22 13:05:00,EV101,44.69,3.72,55.79,0.61,0.28,Flat,31.25,11.71,287.77,Rainy
2025-04-22 13:10:00,EV101,36.58,3.05,55.53,0.35,0.1,Flat,31.93,19.01,288.97,Rainy
2025-04-22 13:15:00,EV101,61.5,5.13,55.43,0.42,0.02,Uphill,34.7,7.5,289.11,Clear
2025-04-22 13:20:00,EV101,34.02,2.83,55.12,0.23,0.43,Uphill,32.23,11.81,294.0,Clear
2025-04-22 13:25:00,EV101,45.39,3.78,54.82,0.63,0.42,Hilly,37.76,8.41,298.02,Clear
2025-04-22 13:30:00,EV101,37.03,3.09,54.65,0.29,0.13,Hilly,26.39,8.48,302.97,Foggy
2025-04-22 13:35:00,EV101,67.94,5.66,54.18,0.83,0.21,Hilly,25.4,12.07,300.47,Sunny
2025-04-22 13:40:00,EV101,47.2,3.93,53.68,0.28,0.24,Hilly,36.27,14.48,297.64,Rainy
2025-04-22 13:45:00,EV101,49.44,4.12,53.36,0.23,0.17,Flat,31.2,18.76,300.49,Rainy
2025-04-22 13:50:00,EV101,42.99,3.58,53.12,0.72,0.24,Hilly,30.24,5.67,297.67,Sunny
2025-04-22 13:55:00,EV101,49.58,4.13,52.72,0.16,0.37,Downhill,34.95,11.85,293.18,Cloudy
2025-04-22 14:00:00,EV101,49.23,4.1,52.31,0.04,0.3,Hilly,34.79,10.67,288.5,Clear
2025-04-22 14:05:00,EV101,61.5,5.13,52.15,0.54,0.84,Downhill,29.6,15.89,284.89,Cloudy
2025-04-22 14:10:00,EV101,58.93,4.91,51.86,0.56,0.01,Uphill,33.52,5.5,283.78,Sunny
2025-04-22 14:15:00,EV101,48.16,4.01,51.37,0.58,0.37,Downhill,28.49,16.5,283.16,Sunny
2025-04-22 14:20:00,EV101,44.86,3.74,50.94,0.56,0.43,Downhill,26.86,13.19,282.57,Rainy
2025-04-22 14:25:00,EV101,51.3,4.27,50.79,0.88,0.03,Hilly,30.48,6.09,278.79,Foggy
2025-04-22 14:30:00,EV101,42.97,3.58,50.5,0.42,0.3,Hilly,25.79,18.77,277.09,Foggy
2025-04-22 14:35:00,EV101,47.14,3.93,50.23,0.79,0.33,Downhill,35.12,6.67,274.81,Clear
2025-04-22 14:40:00,EV101,34.85,2.9,50.0,0.11,0.3,Flat,36.23,6.75,270.22,Clear
2025-04-22 14:45:00,EV101,23.34,1.95,49.52,0.6,0.43,Uphill,29.58,18.23,267.42,Rainy
2025-04-22 14:50:00,EV101,24.93,2.08,49.11,0.22,0.24,Flat,25.03,9.23,265.41,Clear
2025-04-22 14:55:00,EV101,39.51,3.29,48.63,0.57,0.52,Uphill,28.18,16.76,269.53,Foggy
2025-04-22 15:00:00,EV101,38.18,3.18,48.45,0.47,0.58,Flat,27.01,6.65,265.84,Clear
2025-04-22 15:05:00,EV101,50.65,4.22,47.98,0.41,0.21,Flat,32.06,17.67,264.97,Foggy
2025-04-22 15:10:00,EV101,41.76,3.48,47.57,0.46,0.4,Flat,31.49,17.21,261.53,Clear
2025-04-22 15:15:00,EV101,43.86,3.66,47.17,0.25,0.43,Uphill,30.41,6.13,262.87,Foggy
2025-04-22 15:20:00,EV101,52.82,4.4,46.95,0.29,0.26,Hilly,34.52,15.63,261.06,Clear
2025-04-22 15:25:00,EV101,25.15,2.1,46.85,0.49,0.5,Uphill,36.11,19.13,260.58,Sunny
2025-04-22 15:30:00,EV101,59.2,4.93,46.74,0.76,0.4,Hilly,35.54,9.74,263.59,Clear
2025-04-22 15:35:00,EV101,56.41,4.7,46.36,0.6,0.36,Flat,30.2,17.63,262.31,Rainy
2025-04-22 15:40:00,EV101,36.99,3.08,46.0,0.8,0.28,Downhill,34.23,9.97,266.48,Clear
2025-04-22 15:45:00,EV101,51.54,4.3,45.6,0.5,0.48,Flat,37.86,9.99,270.69,Foggy
2025-04-22 15:50:00,EV101,53.23,4.44,45.48,0.53,0.41,Flat,27.22,11.16,273.73,Sunny
2025-04-22 15:55:00,EV101,47.11,3.93,45.3,0.49,0.57,Hilly,34.76,15.28,277.73,Sunny
2025-04-22 16:00:00,EV101,50.56,4.21,45.07,0.58,0.08,Flat,32.61,9.35,275.58,Foggy
2025-04-22 16:05:00,EV101,48.54,4.04,44.88,0.86,0.18,Flat,25.45,12.38,279.28,Clear
2025-04-22 16:10:00,EV101,38.47,3.21,44.49,0.52,0.36,Flat,26.08,13.94,276.33,Clear
2025-04-22 16:15:00,EV101,46.48,3.87,44.21,0.47,0.36,Uphill,32.15,6.35,271.38,Clear
2025-04-22 16:20:00,EV101,46.21,3.85,43.81,0.31,0.28,Hilly,34.53,12.28,275.27,Cloudy
2025-04-22 16:25:00,EV101,50.34,4.2,43.41,0.13,0.14,Hilly,30.03,5.3,278.35,Foggy
2025-04-22 16:30:00,EV101,52.13,4.34,43.17,0.3,0.24,Uphill,30.92,12.93,275.54,Rainy
2025-04-22 16:35:00,EV101,51.14,4.26,42.86,0.4,0.15,Hilly,26.15,19.77,272.93,Foggy
2025-04-22 16:40:00,EV101,37.66,3.14,42.49,0.42,0.28,Flat,38.56,8.94,273.52,Clear
2025-04-22 16:45:00,EV101,39.86,3.32,42.18,0.62,0.23,Flat,39.43,12.24,272.82,Sunny
2025-04-22 16:50:00,EV101,59.72,4.98,41.86,0.54,0.3,Uphill,39.02,6.9,271.21,Rainy
2025-04-22 16:55:00,EV101,47.97,4.0,41.62,0.11,0.24,Flat,26.68,5.82,275.39,Cloudy
2025-04-22 17:00:00,EV101,49.51,4.13,41.42,0.52,0.34,Uphill,34.77,12.45,274.89,Cloudy
2025-04-22 17:05:00,EV101,43.28,3.61,41.0,0.36,0.04,Downhill,35.08,14.78,270.23,Foggy
2025-04-22 17:10:00,EV101,28.38,2.36,40.67,0.64,0.0,Flat,36.79,17.39,271.02,Sunny
2025-04-22 17:15:00,EV101,33.12,2.76,40.35,0.39,0.27,Uphill,25.42,17.21,271.64,Sunny
2025-04-22 17:20:00,EV101,53.11,4.43,40.2,0.37,0.32,Uphill,38.54,18.2,274.18,Cloudy
2025-04-22 17:25:00,EV101,39.94,3.33,39.93,0.28,0.38,Flat,28.62,7.93,275.31,Cloudy
2025-04-22 17:30:00,EV101,43.98,3.66,39.75,0.44,0.42,Hilly,30.26,11.63,273.62,Rainy
2025-04-22 17:35:00,EV101,36.37,3.03,39.35,0.4,0.09,Flat,27.17,12.58,275.4,Rainy
2025-04-22 17:40:00,EV101,51.47,4.29,39.21,0.79,0.43,Hilly,34.84,18.7,272.51,Cloudy
2025-04-22 17:45:00,EV101,64.71,5.39,38.9,0.52,0.3,Flat,35.84,15.47,272.18,Foggy
2025-04-22 17:50:00,EV101,54.88,4.57,38.49,0.44,0.41,Uphill,37.04,19.71,276.16,Cloudy
2025-04-22 17:55:00,EV101,34.08,2.84,38.1,0.09,0.0,Downhill,31.15,18.22,272.86,Cloudy
2025-04-22 18:00:00,EV101,36.05,3.0,37.75,0.49,0.17,Hilly,29.46,9.45,273.11,Sunny
2025-04-22 18:05:00,EV101,36.27,3.02,37.25,0.17,0.34,Downhill,28.98,11.74,275.78,Clear
2025-04-22 18:10:00,EV101,38.47,3.21,36.75,0.24,0.48,Downhill,39.61,11.48,278.76,Foggy
2025-04-22 18:15:00,EV101,39.39,3.28,36.41,0.12,0.51,Hilly,25.03,12.71,281.83,Cloudy
2025-04-22 18:20:00,EV101,53.73,4.48,36.28,0.88,0.18,Flat,30.6,6.84,286.46,Clear
2025-04-22 18:25:00,EV101,52.32,4.36,36.01,0.34,0.18,Flat,27.58,15.31,285.51,Rainy
2025-04-22 18:30:00,EV101,58.27,4.86,35.76,0.47,0.12,Hilly,36.86,13.1,282.99,Rainy
2025-04-22 18:35:00,EV101,48.1,4.01,35.42,0.34,0.36,Flat,31.16,5.26,287.2,Sunny
2025-04-22 18:40:00,EV101,34.46,2.87,35.17,0.53,0.33,Uphill,27.81,7.68,285.43,Clear
2025-04-22 18:45:00,EV101,30.03,2.5,35.05,0.31,0.33,Uphill,36.57,12.44,281.01,Cloudy
2025-04-22 18:50:00,EV101,34.07,2.84,34.89,0.27,0.17,Downhill,34.59,5.55,282.18,Sunny
2025-04-22 18:55:00,EV101,48.2,4.02,34.6,0.74,0.41,Hilly,30.88,5.26,277.43,Foggy
2025-04-22 19:00:00,EV101,43.28,3.61,34.32,0.52,0.34,Hilly,35.12,14.29,274.77,Foggy
2025-04-22 19:05:00,EV101,39.03,3.25,33.94,0.7,0.21,Downhill,27.18,11.62,277.32,Cloudy
2025-04-22 19:10:00,EV101,40.87,3.41,33.66,0.35,0.52,Uphill,30.98,11.14,279.28,Sunny
2025-04-22 19:15:00,EV101,37.92,3.16,33.35,0.27,0.35,Uphill,32.6,7.56,279.61,Sunny
2025-04-22 19:20:00,EV101,30.14,2.51,33.23,0.61,0.51,Hilly,31.18,17.07,284.38,Clear
2025-04-22 19:25:00,EV101,55.17,4.6,33.02,0.44,0.12,Hilly,29.32,5.74,286.26,Clear
2025-04-22 19:30:00,EV101,61.23,5.1,32.73,0.06,0.37,Hilly,30.08,12.87,283.47,Rainy
2025-04-22 19:35:00,EV101,39.02,3.25,32.31,0.49,0.16,Flat,26.91,8.68,282.02,Foggy
2025-04-22 19:40:00,EV101,43.88,3.66,32.05,0.1,0.48,Downhill,36.3,17.06,282.29,Cloudy
2025-04-22 19:45:00,EV101,55.92,4.66,31.72,0.29,0.37,Hilly,33.61,5.07,284.19,Foggy
2025-04-22 19:50:00,EV101,53.34,4.44,31.26,0.47,0.53,Hilly,29.51,17.35,288.02,Foggy
2025-04-22 19:55:00,EV101,49.03,4.09,30.8,0.43,0.09,Hilly,35.73,10.56,283.65,Cloudy
2025-04-22 20:00:00,EV101,31.77,2.65,30.46,0.4,0.0,Hilly,31.59,11.08,281.84,Foggy
2025-04-22 20:05:00,EV101,34.43,2.87,30.15,0.09,0.25,Flat,37.63,14.98,279.61,Cloudy
2025-04-22 20:10:00,EV101,42.11,3.51,29.68,0.19,0.2,Uphill,32.29,6.05,277.06,Sunny
2025-04-22 20:15:00,EV101,57.91,4.83,29.25,0.81,0.3,Uphill,30.32,17.95,280.35,Sunny
2025-04-22 20:20:00,EV101,32.55,2.71,28.86,0.0,0.37,Hilly,39.36,13.92,284.37,Cloudy
2025-04-22 20:25:00,EV101,35.18,2.93,28.49,0.74,0.4,Uphill,33.44,10.66,286.13,Foggy
2025-04-22 20:30:00,EV101,59.8,4.98,28.14,0.74,0.3,Hilly,32.01,19.95,283.56,Rainy
2025-04-22 20:35:00,EV101,62.85,5.24,27.64,0.79,0.22,Uphill,33.72,17.65,286.05,Foggy
2025-04-22 20:40:00,EV101,59.51,4.96,27.26,0.54,0.17,Flat,32.22,9.72,287.44,Foggy
2025-04-22 20:45:00,EV101,36.71,3.06,26.99,0.45,0.29,Uphill,27.74,10.81,290.47,Clear
2025-04-22 20:50:00,EV101,54.76,4.56,26.5,0.62,0.25,Flat,32.49,12.22,292.59,Clear
2025-04-22 20:55:00,EV101,41.02,3.42,26.31,0.61,0.48,Downhill,30.71,15.42,291.19,Cloudy
2025-04-22 21:00:00,EV101,56.17,4.68,25.94,0.61,0.34,Uphill,30.54,17.28,292.99,Cloudy
2025-04-22 21:05:00,EV101,45.02,3.75,25.75,0.34,0.12,Flat,27.62,16.6,294.42,Foggy
2025-04-22 21:10:00,EV101,46.48,3.87,25.6,0.61,0.49,Hilly,28.25,5.21,290.43,Foggy
2025-04-22 21:15:00,EV101,40.8,3.4,25.2,0.45,0.49,Downhill,30.34,14.09,291.44,Rainy
2025-04-22 21:20:00,EV101,47.11,3.93,24.83,0.5,0.25,Downhill,25.86,13.83,294.24,Sunny
2025-04-22 21:25:00,EV101,55.9,4.66,24.52,0.59,0.53,Downhill,33.08,17.34,296.2,Foggy
2025-04-22 21:30:00,EV101,49.39,4.12,24.02,0.95,0.23,Flat,34.68,8.46,295.54,Clear
2025-04-22 21:35:00,EV101,42.49,3.54,23.62,0.47,0.4,Uphill,33.43,18.22,294.13,Clear
2025-04-22 21:40:00,EV101,41.47,3.46,23.36,0.61,0.42,Uphill,35.0,17.29,290.98,Clear
2025-04-22 21:45:00,EV101,54.74,4.56,22.91,0.83,0.66,Flat,26.17,12.17,290.34,Foggy
2025-04-22 21:50:00,EV101,50.55,4.21,22.59,0.74,0.32,Downhill,37.65,14.2,290.61,Sunny
2025-04-22 21:55:00,EV101,45.19,3.77,22.49,0.43,0.46,Flat,39.04,5.62,286.78,Foggy
2025-04-22 22:00:00,EV101,37.45,3.12,22.11,0.92,0.15,Hilly,33.33,9.7,286.02,Cloudy
2025-04-22 22:05:00,EV101,50.72,4.23,21.79,0.38,0.34,Downhill,29.07,12.9,288.83,Cloudy
2025-04-22 22:10:00,EV101,45.79,3.82,21.69,0.65,0.45,Downhill,35.92,19.68,287.73,Cloudy
2025-04-22 22:15:00,EV101,40.81,3.4,21.57,0.5,0.3,Uphill,38.63,6.18,291.25,Cloudy
2025-04-22 22:20:00,EV101,52.68,4.39,21.25,0.27,0.12,Downhill,31.48,6.05,290.72,Cloudy
2025-04-22 22:25:00,EV101,33.08,2.76,20.89,0.47,0.26,Uphill,38.27,19.47,288.99,Rainy
2025-04-22 22:30:00,EV101,46.68,3.89,20.69,0.0,0.0,Flat,37.45,11.45,286.53,Rainy
2025-04-22 22:35:00,EV101,33.34,2.78,20.25,0.53,0.45,Flat,36.14,5.1,290.33,Foggy
2025-04-22 06:00:00,EV102,39.27,3.27,89.14,0.55,0.3,Uphill,32.0,13.91,227.63,Clear
2025-04-22 06:05:00,EV102,37.56,3.13,88.8,0.38,0.16,Uphill,36.01,15.4,232.23,Clear
2025-04-22 06:10:00,EV102,39.86,3.32,88.52,0.76,0.27,Downhill,36.15,6.9,231.15,Clear
2025-04-22 06:15:00,EV102,47.94,3.99,88.31,0.48,0.0,Hilly,38.13,8.69,227.64,Cloudy
2025-04-22 06:20:00,EV102,38.71,3.23,87.94,0.66,0.17,Flat,34.56,10.7,229.54,Rainy
2025-04-22 06:25:00,EV102,45.09,3.76,87.74,0.38,0.0,Downhill,28.5,7.91,227.31,Clear
2025-04-22 06:30:00,EV102,59.68,4.97,87.56,0.82,0.48,Downhill,33.07,6.24,228.06,Clear
2025-04-22 06:35:00,EV102,38.33,3.19,87.32,0.52,0.4,Uphill,35.68,10.21,232.36,Cloudy
2025-04-22 06:40:00,EV102,61.2,5.1,86.93,0.45,0.22,Downhill,36.2,14.38,232.01,Clear
2025-04-22 06:45:00,EV102,48.95,4.08,86.61,0.37,0.45,Uphill,28.6,19.16,235.41,Clear
2025-04-22 06:50:00,EV102,54.06,4.5,86.41,0.52,0.3,Flat,32.58,9.04,230.98,Clear
2025-04-22 06:55:00,EV102,52.04,4.34,85.93,0.55,0.23,Flat,39.93,19.12,233.71,Clear
2025-04-22 07:00:00,EV102,38.5,3.21,85.65,0.57,0.12,Uphill,26.91,11.52,236.44,Sunny
2025-04-22 07:05:00,EV102,30.3,2.53,85.31,0.21,0.0,Uphill,32.62,13.39,234.2,Cloudy
2025-04-22 07:10:00,EV102,50.94,4.24,84.96,0.85,0.24,Downhill,27.48,6.24,231.69,Sunny
2025-04-22 07:15:00,EV102,39.2,3.27,84.53,0.64,0.37,Hilly,30.21,12.16,227.68,Sunny
2025-04-22 07:20:00,EV102,45.37,3.78,84.37,0.41,0.29,Downhill,31.49,5.25,228.29,Sunny
2025-04-22 07:25:00,EV102,49.38,4.11,84.12,0.6,0.48,Uphill,36.62,12.31,229.22,Rainy
2025-04-22 07:30:00,EV102,36.83,3.07,83.71,0.81,0.45,Flat,33.86,14.04,228.11,Rainy
2025-04-22 07:35:00,EV102,55.02,4.58,83.56,0.69,0.62,Downhill,39.99,16.31,224.88,Clear
2025-04-22 07:40:00,EV102,41.58,3.46,83.1,0.65,0.45,Hilly,26.24,10.4,229.41,Rainy
2025-04-22 07:45:00,EV102,38.72,3.23,82.9,0.66,0.36,Flat,27.18,19.7,227.24,Cloudy
2025-04-22 07:50:00,EV102,43.15,3.6,82.66,0.55,0.42,Flat,32.35,6.18,231.46,Cloudy
2025-04-22 07:55:00,EV102,28.11,2.34,82.29,0.41,0.33,Flat,35.64,13.81,233.84,Cloudy
2025-04-22 08:00:00,EV102,47.39,3.95,82.07,0.47,0.03,Hilly,35.65,15.9,236.47,Sunny
2025-04-22 08:05:00,EV102,43.87,3.66,81.74,0.29,0.0,Downhill,27.39,7.78,238.19,Sunny
2025-04-22 08:10:00,EV102,54.14,4.51,81.6,0.71,0.26,Hilly,32.31,12.92,238.26,Cloudy
2025-04-22 08:15:00,EV102,37.52,3.13,81.43,0.54,0.41,Uphill,29.59,13.86,233.82,Foggy
2025-04-22 08:20:00,EV102,53.63,4.47,81.21,0.47,0.06,Hilly,31.61,14.74,238.4,Rainy
2025-04-22 08:25:00,EV102,36.48,3.04,80.89,0.65,0.0,Flat,29.91,7.4,239.11,Sunny
2025-04-22 08:30:00,EV102,59.35,4.95,80.73,0.52,0.42,Uphill,33.44,17.44,239.35,Cloudy
2025-04-22 08:35:00,EV102,32.96,2.75,80.42,0.5,0.34,Hilly,29.91,5.99,238.31,Clear
2025-04-22 08:40:00,EV102,44.09,3.67,80.26,0.73,0.21,Flat,29.83,11.62,237.7,Sunny
2025-04-22 08:45:00,EV102,43.1,3.59,79.95,0.0,0.29,Hilly,26.78,8.2,240.41,Clear
2025-04-22 08:50:00,EV102,43.4,3.62,79.74,0.67,0.49,Downhill,30.66,12.97,242.86,Rainy
